ID;NOMBRE;image_file;ID FM;foto;Leyenda;;;
1332;Ian Edward Wright;2006032.png;2006032;;SI;;;
1335;Jean-Luc Ettori;402979.png;402979;;SI;;;
1336;Gérard Janvion;919088.png;919088;;SI;;;
1345;Didier Six;917398.png;917398;;SI;;;
1349;Emmanuel Petit;1915464822.png;1915464822;;SI;;;
1352;Thierry Tusseau;8425412.png;8425412;;SI;;;
1365;Wolfgang Overath;3604904.png;3604904;;SI;;;
1369;Bodo Illgner;4200729.png;4200729;;SI;;;
1382;Claudio Gentile;918390.png;918390;;SI;;;
1385;Fulvio Collovati;837385.png;837385;;SI;;;
1386;Gabriele Oriali;703138.png;703138;;SI;;;
1406;Arend Haan;127626.png;127626;;SI;;;
1415;Johannes Franciscus van Breukelen;36500424.png;36500424;;SI;;;
1433;Julio Jorge Olarticoechea;14031561.png;14031561;;SI;;;
1440;Luis Adolfo Galván;14089754.png;14089754;;SI;;;
1447;Leopoldo Jacinto Luque;14100767.png;14100767;;SI;;;
1455;Clodoaldo Tavares de Santana;6900565.png;6900565;;SI;;;
1472;Antônio de Oliveira Filho;315654.png;315654;;SI;;;
4466;Gheorghe Popescu;1394718107.png;1394718107;;SI;;;
4488;Thomas Ravelli;4400591.png;4400591;;SI;;;
4512;Daniel Andersson;1394715073.png;1394715073;;SI;;;
4528;Matthew Le Tissier;2004717.png;2004717;;SI;;;
4546;Aitor Beguiristain Mugica;7449788.png;7449788;;SI;;;
4550;Haim Revivo;2467.png;2467;;SI;;;
4552;Igor Protti;8443.png;8443;;SI;;;
4567;Fabrizio Ravanelli;103381.png;103381;;SI;;;
14;Anton Ehmann;134571.png;134571;SI;0;;;
19;ernst dospel;134589.png;134589;SI;0;;;
67;Zoran Jankovic;5745347.png;5745347;SI;0;;;
125;Claus William Wessel Jensen;9252.png;9252;SI;0;;;
235;thodoris zagorakis;104086.png;104086;NO;0;;;
270;zoltán balog;133354.png;133354;NO;0;;;
324;Art?rs Zakreševskis;145335.png;145335;SI;0;;;
326;Aleksandrs Isakovs;145337.png;145337;NO;0;;;
330;Genadijs Solonicins;145274.png;145274;SI;0;;;
334;Andrejs Piedels;485716.png;485716;SI;0;;;
337;Igors Korab?ovs;145381.png;145381;NO;0;;;
341;Kristaps Blanks;8403977.png;8403977;SI;0;;;
342;Vladimirs Kolesnicenko;485543.png;485543;SI;0;;;
343;Mihails Miholaps;485580.png;485580;SI;0;;;
345;Gatis Kalni?š;8404000.png;8404000;SI;0;;;
384;James Whitley;2011604.png;2011604;NO;0;;;
387;phil mulryne;2011583.png;2011583;SI;0;;;
533;Nnenad Djordjevic;5743896.png;5743896;NO;0;;;
545;Dušan Petkovi?;132635.png;132635;SI;0;;;
569;Jozef Valachovi?;5640254.png;5640254;SI;0;;;
574;Lubomir Reiter;5642460.png;5642460;NO;0;;;
595;Ermin Šiljak;619821.png;619821;NO;0;;;
673;Mustafa Selçuk Perekli;452852.png;452852;NO;0;;;
745;mateus santos;12001212.png;12001212;no;0;id;descargado;version
748;Luís Mamona Joăo;7601284.png;7601284;SI;0;7601284;1;4.06
749;Mario Hipólito Damiăo;153994.png;153994;SI;0;153994;1;3.08
751;António Lebo-Lebo;95079966.png;95079966;NO;0;95079966;0;N/A
753;Marco Paulo Coimbra de Abreu;902215.png;902215;SI;0;902215;1;4.06
754;Marcos Hermenegildo Joaquim;2000167699.png;2000167699;NO;0;2000167699;0;N/A
810;Emmanuel Addoquaye Pappoe;5370511.png;5370511;SI;0;5370511;1;4.01
874;Abram Raselemane;5680952.png;5680952;NO;0;5680952;0;N/A
916;Mohamed Raâfat Melliti;5360698.png;5360698;SI;0;5360698;1;3.02
925;Danny Fonseca;5385013.png;5385013;SI;0;5385013;1;4.07
960;Víctor Hugo García Reza;5660389.png;5660389;NO;0;5660389;0;N/A
984;Anthony Wolfe;153977.png;153977;NO;0;153977;0;N/A
985;Evans Wise;1200824.png;1200824;NO;0;1200824;0;N/A
1075;José Contreras;5250111.png;5250111;NO;0;5250111;0;N/A
1082;Luis Eduardo Martínez;309270.png;309270;NO;0;309270;0;N/A
1120;Arlin Segundo Ayoví Ayoví;120976.png;120976;NO;0;120976;0;N/A
1143;Jorge Martín Núńez Mendoza;5280398.png;5280398;NO;0;5280398;0;N/A
1160;Gustavo Enrique Vassallo Ferrari;8835877.png;8835877;SI;0;8835877;1;4.08
1171;Pedro Alexander García de la Cruz;5290240.png;5290240;NO;0;5290240;0;N/A
1186;Óscar Manuel Castro Aristimuńo;5512565.png;5512565;NO;0;5512565;0;N/A
1208;hasan roudbarian;150127.png;150127;SI;0;150127;1;3.05
1209;Vahid Talebloo;1009292.png;1009292;SI;0;1009292;1;3.05
1210;sohrab bakhtiarizadeh;457296.png;457296;SI;0;457296;1;3.02
1219;Gholam Reza Enayati;145622.png;145622;SI;0;145622;1;3.05
1220;Yoshikatsu Kawaguchi;2010119.png;2010119;NO;0;2010119;0;N/A
1221;Keisuke Tsuboi;778081.png;778081;NO;0;778081;0;N/A
1223;Yuji Nakazawa;7100040.png;7100040;NO;0;7100040;0;N/A
1224;Yuichi Komano;7100073.png;7100073;NO;0;7100073;0;N/A
1225;Alessandro Santos;3900678.png;3900678;NO;0;3900678;0;N/A
1226;Hidetoshi Nakata;2010131.png;2010131;NO;0;2010131;0;N/A
1227;Takashi Fukunishi;3900623.png;3900623;NO;0;3900623;0;N/A
1229;Atsushi Yanagisawa;2010145.png;2010145;NO;0;2010145;0;N/A
1231;Yoichi Doi;3900637.png;3900637;NO;0;3900637;0;N/A
1232;Seigo Narazaki;106020.png;106020;NO;0;106020;0;N/A
1233;Teruyuki Moniwa;775124.png;775124;NO;0;775124;0;N/A
1234;Akira Kaji;3900425.png;3900425;NO;0;3900425;0;N/A
1236;Yasuhito Endo;3900305.png;3900305;NO;0;3900305;0;N/A
1238;Mitsuo Ogasawara;3901016.png;3901016;NO;0;3901016;0;N/A
1240;Keiji Tamada;7100027.png;7100027;NO;0;7100027;0;N/A
1242;Seiichiro Maki;783142.png;783142;SI;0;783142;1;3.01
1249;omar al-ghamdi;144970.png;144970;SI;0;144970;1;3.03
1257;Mohammed Eid Naser Al-Bishi;23006948.png;23006948;SI;0;23006948;1;4.10
1258;Abdulaziz Mohammed Al-Khathran;144973.png;144973;NO;0;144973;0;N/A
1259;ahmed al-bahri;7920103.png;7920103;NO;0;7920103;0;N/A
1260;Mohammed Massad Al-Muwalid Al-Harbi;7920418.png;7920418;NO;0;7920418;0;N/A
1261;Mohammed Ameen Haidar Al-Aulaqi;1021867.png;1021867;NO;0;;;
1276;Cho Sung-Jin;5704751.png;5704751;NO;0;;;
1537;Samuel Seth Ashton;5131130.png;5131130;NO;0;;;
1715;Antonio Javier Domingo Luque;6701339.png;6701339;NO;0;;;
1733;David Anthony Thompson;2005705.png;2005705;NO;0;;;
1777;neil shipperley;2005492.png;2005492;NO;0;;;
1778;Craig Jonathan Short;2005497.png;2005497;NO;0;;;
1786;Hao Haidong;128073.png;128073;NO;0;;;
1792;Tsvetan Nikolaev Nikolov;7501700.png;7501700;NO;0;;;
1865;Steve McMillan;2015760.png;2015760;NO;0;;;
2003;diego yesso;8428755.png;8428755;NO;0;;;
2010;mamadou dansoko;5370573.png;5370573;NO;0;;;
2024;Sylvain Nguetoinar Idangar;915739.png;915739;NO;0;;;
2078;Cedric Lecluse;10234.png;10234;NO;0;;;
2082;Abdoulaye Khouma Keďta;7601408.png;7601408;NO;0;;;
2084;Romain Chouleur;8444529.png;8444529;NO;0;;;
2129;franck padovani;919982.png;919982;NO;0;;;
2136;Paulo CésarFilgueira Narciso;3300663.png;3300663;NO;0;;;
2163;Cheick N'Diaye;55002409.png;55002409;NO;0;;;
2238;johann lonfat;116350.png;116350;NO;0;;;
2247;Virgile Séne;34000617.png;34000617;NO;0;;;
2275;Jean-Louis Montero;3503289.png;3503289;NO;0;;;
2279;sébastien dallet;8652.png;8652;NO;0;;;
2294;Cedric Faivre;910800.png;910800;NO;0;;;
2316;freddy bourgeois;3502929.png;3502929;NO;0;;;
2329;Alessandro Boccolini;837151.png;837151;NO;0;;;
2376;Andrea Salvatore Cocco;7988370.png;7988370;NO;0;;;
2386;Arazio Macca liotru;705884.png;705884;NO;0;;;
2425;Diegoda Silva;2108801.png;2108801;NO;0;;;
2433;Fabrizio Ficini;3994.png;3994;NO;0;;;
2479;Francesco Coco;65.png;65;NO;0;;;
2533;Andrea Tummiolo;837677.png;837677;NO;0;;;
2740;Ronildo Pereira de Freitas;115839.png;115839;NO;0;;;
2758;roger garcía junyent;6700672.png;6700672;NO;0;;;
2806;roel buikema;601086.png;601086;NO;0;;;
2808;Robin Hofman;861862.png;861862;NO;0;;;
2889;Sota Hirayama;784424.png;784424;NO;0;;;
2904;Tamás Pet?;133263.png;133263;NO;0;;;
2916;jordy van bremen;860867.png;860867;NO;0;;;
2932;Raymon van Emmerik;850256.png;850256;NO;0;;;
2934;Bas Bakker;860961.png;860961;NO;0;;;
2991;Olaf Rompelberg;861366.png;861366;NO;0;;;
3031;Giorgi Gakokidze;59145996.png;59145996;NO;0;;;
3042;dmitry shukov;15179.png;15179;NO;0;;;
3103;Peter Zoďs;850200.png;850200;NO;0;;;
3150;Oriol Riera Magem;7459580.png;7459580;NO;0;;;
3154;José María Romero Poyón;14655.png;14655;NO;0;;;
3177;Francisco de Borja Lacasa Sancho;4210850.png;4210850;NO;0;;;
3181;Joăo Fernando Nelo Baiano;318606.png;318606;NO;0;;;
3183;Marcos Bermúdez Martínez;1512097.png;1512097;NO;0;;;
3214;Carlos Alcántara Cuevas;1503798.png;1503798;NO;0;;;
3216;Jesús Muńoz Calonge;413.png;413;NO;0;;;
3233;Juan Velasco Damas;6701711.png;6701711;NO;0;;;
3266;Ángel Morales Cuerva;4203261.png;4203261;NO;0;;;
3267;Alejandro Campano Hernando;4209725.png;4209725;NO;0;;;
3272;Rubén Pérez Chueca;67009094.png;67009094;NO;0;;;
3275;Marco Antonio Ortega Cotano;6701739.png;6701739;NO;0;;;
3277;Abel Buades Vendrell;4210245.png;4210245;NO;0;;;
3278;Jesús María Serrano Eugi;4210555.png;4210555;NO;0;;;
3282;Antoni Pinilla Miranda;14030.png;14030;NO;0;;;
3293;Pablo Hernandez;1510161.png;1510161;NO;0;;;
3294;jose ramón rodríguez gómez;1508844.png;1508844;NO;0;;;
3304;frédéric déhu;8643.png;8643;NO;0;;;
3312;Gustavo Enrique Reggi;2000211.png;2000211;NO;0;;;
3330;Francisco Gonzalo Galán Quesada;67020847.png;67020847;NO;0;;;
3338;Basilio Sancho Agudo;67010817.png;67010817;NO;0;;;
3345;Francisco Pavón Barahona;67018692.png;67018692;NO;0;;;
3349;Óscar Mińambres;812813.png;812813;NO;0;;;
3362;Gerardo José Rubio Ortuńo;1510984.png;1510984;NO;0;;;
3403;Carlos Xabier Pascual Luca de Tena;7448310.png;7448310;NO;0;;;
3421;Igor Jauregi Iraola;4200948.png;4200948;NO;0;;;
3462;Antonio Puerta;7453007.png;7453007;NO;0;;;
3510;César Jiménez Jiménez;4211119.png;4211119;NO;0;;;
3579;Benny Gall;2004183.png;2004183;NO;0;;;
3617;Grigoris Georgatos;114659.png;114659;NO;0;;;
3620;daniel garcía lara;15742.png;15742;NO;0;;;
3622;Kleopas Giannou;675017.png;675017;NO;0;;;
3627;zhora hovhannisyan;1804927.png;1804927;NO;0;;;
3682;Frode Berg;3877.png;3877;NO;0;;;
3703;Diego LindberghTinoco Freire;2105550.png;2105550;NO;0;;;
3775;Antoine Ponroy;8428682.png;8428682;NO;0;;;
3781;William Stanger;8428686.png;8428686;NO;0;;;
3799;niklas rasck;15942.png;15942;NO;0;;;
3833;alexandro quaresma de souza;19022095.png;19022095;NO;0;;;
3865;emrah umut;465076.png;465076;NO;0;;;
3867;zafer sakar;8476204.png;8476204;NO;0;;;
4469;Debray Darío Silva Pereira;2268.png;2268;NO;0;;;
4492;Ronald Paolo Montero Iglesias;8078.png;8078;NO;0;;;
4513;José Saturnino Cardozo Otazú;106090.png;106090;NO;0;;;
4574;Jorge Manuel Guerreiro Soares;1360.png;1360;NO;0;;;
4584;Niall Quinn;2014470.png;2014470;NO;0;;;
